Meddržavne selitve po: SELITVE, DRŽAVLJANSTVO, LETO , STATISTIÈNA REGIJA;;;;
;;;;
Priseljeni iz tujine;;;;
Priseljeni iz tujine;Državljani RS;;;
 ; ; ;Jugovzhodna Slovenija;354
 ; ; ;Osrednjeslovenska;2382
 ; ; ;Gorenjska;929
 ; ; ;Primorsko-kraška;176
 ; ; ;Goriška;323
 ; ; ;Obalno-kraška;584
 ; ;2015;;
 ; ; ;Pomurska;527
 ; ; ;Podravska;1566
 ; ; ;Koroška;294
 ; ; ;Savinjska;918
 ; ; ;Zasavska;204
 ; ; ;Posavska;262
 ; ; ;Jugovzhodna Slovenija;428
 ; ; ;Osrednjeslovenska;2462
 ; ; ;Gorenjska;941
 ; ; ;Primorsko-kraška;183
 ; ; ;Goriška;360
 ; ; ;Obalno-kraška;509
 ;Tuji državljani;;;
 ; ;2000;;
 ; ; ;Pomurska;154
 ; ; ;Podravska;167
 ; ; ;Koroška;41
 ; ; ;Savinjska;382
 ; ; ;Zasavska;44
 ; ; ;Posavska;140
 ; ; ;Jugovzhodna Slovenija;128
 ; ; ;Osrednjeslovenska;409
 ; ; ;Gorenjska;223
 ; ; ;Primorsko-kraška;35
 ; ; ;Goriška;156
 ; ; ;Obalno-kraška;132
 ; ;2001;;
 ; ; ;Pomurska;57
 ; ; ;Podravska;156
 ; ; ;Koroška;66
 ; ; ;Savinjska;748
 ; ; ;Zasavska;45
 ; ; ;Posavska;128
 ; ; ;Jugovzhodna Slovenija;275
 ; ; ;Osrednjeslovenska;993
 ; ; ;Gorenjska;218
 ; ; ;Primorsko-kraška;51
 ; ; ;Goriška;331
 ; ; ;Obalno-kraška;301
 ; ;2002;;
 ; ; ;Pomurska;37
 ; ; ;Podravska;269
 ; ; ;Koroška;73
 ; ; ;Savinjska;904
 ; ; ;Zasavska;121
 ; ; ;Posavska;367
 ; ; ;Jugovzhodna Slovenija;260
 ; ; ;Osrednjeslovenska;1339
 ; ; ;Gorenjska;347
 ; ; ;Primorsko-kraška;142
 ; ; ;Goriška;349
 ; ; ;Obalno-kraška;437
 ; ;2003;;
 ; ; ;Pomurska;94
 ; ; ;Podravska;273
 ; ; ;Koroška;84
 ; ; ;Savinjska;778
 ; ; ;Zasavska;123
 ; ; ;Posavska;268
 ; ; ;Jugovzhodna Slovenija;297
 ; ; ;Osrednjeslovenska;984
 ; ; ;Gorenjska;371
 ; ; ;Primorsko-kraška;110
 ; ; ;Goriška;274
 ; ; ;Obalno-kraška;324
 ; ;2004;;
 ; ; ;Pomurska;68
 ; ; ;Podravska;494
 ; ; ;Koroška;46
 ; ; ;Savinjska;1135
 ; ; ;Zasavska;133
 ; ; ;Posavska;323
 ; ; ;Jugovzhodna Slovenija;338
 ; ; ;Osrednjeslovenska;1665
 ; ; ;Gorenjska;515
 ; ; ;Primorsko-kraška;179
 ; ; ;Goriška;452
 ; ; ;Obalno-kraška;656
 ; ;2005;;
 ; ; ;Pomurska;52
 ; ; ;Podravska;526
 ; ; ;Koroška;108
 ; ; ;Savinjska;1279
 ; ; ;Zasavska;109
 ; ; ;Posavska;421
 ; ; ;Jugovzhodna Slovenija;356
 ; ; ;Osrednjeslovenska;1831
 ; ; ;Gorenjska;509
 ; ; ;Primorsko-kraška;195
 ; ; ;Goriška;467
 ; ; ;Obalno-kraška;675
 ; ;2006;;
 ; ; ;Pomurska;167
 ; ; ;Podravska;1146
 ; ; ;Koroška;194
 ; ; ;Savinjska;1904
 ; ; ;Zasavska;148
 ; ; ;Posavska;593
 ; ; ;Jugovzhodna Slovenija;726
 ; ; ;Osrednjeslovenska;3310
 ; ; ;Gorenjska;753
 ; ; ;Primorsko-kraška;279
 ; ; ;Goriška;720
 ; ; ;Obalno-kraška;1106
 ; ;2007;;
 ; ; ;Pomurska;179
 ; ; ;Podravska;1387
 ; ; ;Koroška;113
 ; ; ;Savinjska;1774
 ; ; ;Zasavska;137
 ; ; ;Posavska;462
 ; ; ;Jugovzhodna Slovenija;955
 ; ; ;Osrednjeslovenska;3976
 ; ; ;Gorenjska;684
 ; ; ;Primorsko-kraška;338
 ; ; ;Goriška;740
