Meddržavne selitve po: SELITVE, STAROSTNE SKUPINE, LETO, SPOL ,;;;;;
DRŽAVLJANSTVO;;;;;
;;;;;
Priseljeni iz tujine;;;;;
Priseljeni iz tujine;Starostne skupine - SKUPAJ;;;;
Priseljeni iz tujine;Starostne skupine - SKUPAJ;2000;;;
 ; ; ; ;Tuji državljani;857
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;23
 ; ; ; ;Tuji državljani;293
 ; ;2007;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;36
 ; ; ; ;Tuji državljani;1064
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;40
 ; ; ; ;Tuji državljani;363
 ; ;2008;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;59
 ; ; ; ;Tuji državljani;750
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;57
 ; ; ; ;Tuji državljani;387
 ; ;2009;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;64
 ; ; ; ;Tuji državljani;698
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;59
 ; ; ; ;Tuji državljani;369
 ; ;2010;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;41
 ; ; ; ;Tuji državljani;288
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;39
 ; ; ; ;Tuji državljani;314
 ; ;2011;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;56
 ; ; ; ;Tuji državljani;294
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;51
 ; ; ; ;Tuji državljani;250
 ; ;2012;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;40
 ; ; ; ;Tuji državljani;353
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;38
 ; ; ; ;Tuji državljani;307
 ; ;2013;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;41
 ; ; ; ;Tuji državljani;365
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;29
 ; ; ; ;Tuji državljani;313
 ; ;2014;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;49
 ; ; ; ;Tuji državljani;414
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;42
 ; ; ; ;Tuji državljani;334
 ; ;2015;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;51
